,INVH
2021-04-29,19718580707
2021-04-30,19911677408
2021-05-03,19729939337
2021-05-04,19798091113
2021-05-05,19468690860
2021-05-06,19832167002
2021-05-07,19894639464
2021-05-10,19974149870
2021-05-11,19923036037
2021-05-12,19451652916
2021-05-13,19684504819
2021-05-14,19940073981
2021-05-17,19974149870
2021-05-18,19911677408
2021-05-19,19854884261
2021-05-20,20218360403
2021-05-21,20070698220
2021-05-24,20473929565
2021-05-25,20553439971
2021-05-26,20547760656
2021-05-27,20383060530
2021-05-28,20598874489
2021-06-01,20763574616
2021-06-02,20956671316
2021-06-03,20877160910
2021-06-04,20962350631
2021-06-07,21269033626
2021-06-08,21234957738
2021-06-09,21269033626
2021-06-10,21552999362
2021-06-11,21416695809
2021-06-14,21473488956
2021-06-15,21251995682
2021-06-16,21098654184
2021-06-17,21251995682
2021-06-18,20735178042
2021-06-21,21314468144
2021-06-22,21234957738
2021-06-23,21359902661
2021-06-24,21320147458
2021-06-25,21552999362
2021-06-28,21422375123
2021-06-29,21308788829
2021-06-30,21516746827
2021-07-01,21660999622
2021-07-02,21851413310
2021-07-06,22370723371
2021-07-07,22503435942
2021-07-08,22722700189
2021-07-09,23022746002
2021-07-12,23132378126
2021-07-13,22861182872
2021-07-14,22988125331
2021-07-15,22982355219
2021-07-16,23063136784
2021-07-19,22636148512
2021-07-20,23224699914
2021-07-21,23034286225
2021-07-22,22993895443
2021-07-23,23380492932
2021-07-26,23224699914
2021-07-27,23484354944
2021-07-28,23392033156
2021-07-29,23449734273
2021-07-30,23472814721
2021-08-02,23432423938
2021-08-03,23317021702
2021-08-04,23322791814
2021-08-05,23328561926
2021-08-06,23149688461
2021-08-09,22959274772
2021-08-10,22451504935
2021-08-11,22572677283
2021-08-12,22630378401
2021-08-13,22861182872
2021-08-16,22872723095
2021-08-17,22861182872
2021-08-18,23143918349
2021-08-19,23207389579
2021-08-20,23357412485
2021-08-23,23276630920
2021-08-24,23138148237
2021-08-25,23126608014
2021-08-26,23253550473
2021-08-27,23368952709
2021-08-30,23830561651
2021-08-31,23761320310
2021-09-01,24194078693
2021-09-02,24505664729
2021-09-03,24205618917
2021-09-07,23830561651
2021-09-08,24090216681
2021-09-09,23715159415
2021-09-10,23247780361
2021-09-13,23409343491
2021-09-14,23415113603
