,EQR
2004-04-30,7659939540
2004-05-03,7810572000
2004-05-04,7966783440
2004-05-05,7955625480
2004-05-06,7852414350
2004-05-07,7629255150
2004-05-10,7626465660
2004-05-11,7654360560
2004-05-12,7657150050
2004-05-13,7643202600
2004-05-14,7662729030
2004-05-17,7696202910
2004-05-18,7791045570
2004-05-19,7612518210
2004-05-20,7740834750
2004-05-21,7777098120
2004-05-24,7844045880
2004-05-25,8025362730
2004-05-26,8103468450
2004-05-27,8145310800
2004-05-28,8212258560
2004-06-01,8145310800
2004-06-02,8276416830
2004-06-03,8156468760
2004-06-04,8201100600
2004-06-07,8231784990
2004-06-08,8259679890
2004-06-09,8276416830
2004-06-10,8226206010
2004-06-14,8078363040
2004-06-15,8203890090
2004-06-16,8125784370
2004-06-17,8061626100
2004-06-18,8025362730
2004-06-21,8164837230
2004-06-22,8206679580
2004-06-23,8273627340
2004-06-24,8298732750
2004-06-25,8368470000
2004-06-28,8385206940
2004-06-29,8206679580
2004-06-30,8329364910
2004-07-01,8348976600
2004-07-02,8475051750
2004-07-06,8503068450
2004-07-07,8522680140
2004-07-08,8368588290
2004-07-09,8421820020
2004-07-12,8475051750
2004-07-13,8419018350
2004-07-14,8466646740
2004-07-15,8553498510
2004-07-16,8536688490
2004-07-19,8575911870
2004-07-20,8561903520
2004-07-21,8489060100
2004-07-22,8318158230
2004-07-23,8222901450
2004-07-26,8172471390
2004-07-27,8147256359
2004-07-28,8250918150
2004-07-29,8225703120
2004-07-30,8278934850
2004-08-02,8385398310
2004-08-03,8354579940
2004-08-04,8612333580
2004-08-05,8589920220
2004-08-06,8489060100
2004-08-09,8494663440
2004-08-10,8483456760
2004-08-11,8489060100
2004-08-12,8416216680
2004-08-13,8405010000
2004-08-16,8489060100
2004-08-17,8531085150
2004-08-18,8687978670
2004-08-19,8528283480
