,FLT
2015-02-05,13713872500
2015-02-06,13766170000
2015-02-09,13452385000
2015-02-10,13412932500
2015-02-11,13462477500
2015-02-12,13690935000
2015-02-13,13796447500
2015-02-17,14021235000
2015-02-18,14045090000
2015-02-19,14141427500
2015-02-20,14354287499
2015-02-23,14280887500
2015-02-24,14401080000
2015-02-25,14399245000
2015-02-26,14258867500
2015-02-27,14077202500
2015-03-02,14140510000
2015-03-03,14200147500
2015-03-04,13956092500
2015-03-05,14259784999
2015-03-06,14064357500
2015-03-09,13960680000
2015-03-10,13585422500
2015-03-11,13675337500
2015-03-12,13760665000
2015-03-13,13598267500
2015-03-16,13777180000
2015-03-17,13766170000
2015-03-18,13971690000
2015-03-19,13901042500
2015-03-20,13960680000
2015-03-23,13823972499
2015-03-24,13897372500
2015-03-25,13639555000
2015-03-26,13660657499
2015-03-27,13630380000
2015-03-30,13838652500
2015-03-31,13870151679
2015-04-01,14016279040
2015-04-02,14062231040
2015-04-06,14029145600
2015-04-07,14218467840
2015-04-08,14361838080
2015-04-09,14385733120
2015-04-10,14507046400
2015-04-13,14464770559
2015-04-14,14468446720
2015-04-15,14576893440
2015-04-16,14523589120
2015-04-17,14357242880
2015-04-20,14554836480
2015-04-21,14542888960
2015-04-22,14543808000
2015-04-23,14949104640
2015-04-24,14910504960
2015-04-27,15022627840
2015-04-28,14837900799
2015-04-29,15000570880
2015-04-30,14786434559
2015-05-01,14624683520
2015-05-04,14379299840
2015-05-05,14212034559
2015-05-06,14080611840
2015-05-07,14094397440
2015-05-08,14228577280
2015-05-11,14120130559
2015-05-12,14064988160
2015-05-13,14090721280
2015-05-14,14234091520
2015-05-15,14184463360
2015-05-18,14187220480
2015-05-19,14103587840
2015-05-20,13971246080
2015-05-21,14227658240
2015-05-22,14176192000
2015-05-26,14048445440
2015-05-27,14119211520
2015-05-28,14053959679
2015-05-29,13982274559
2015-06-01,14125644799
2015-06-02,14168839679
2015-06-03,14186301440
2015-06-04,13905075200
2015-06-05,14222144000
2015-06-08,14035578880
2015-06-09,13903237120
2015-06-10,14659607040
2015-06-11,14830548480
2015-06-12,14846172160
2015-06-15,14829629440
2015-06-16,14986785280
2015-06-17,14773568000
2015-06-18,14897638400
2015-06-19,14832386559
2015-06-22,14882014720
2015-06-23,14887528960
2015-06-24,14702801920
2015-06-25,14714749440
2015-06-26,14640307200
2015-06-29,14276367360
2015-06-30,14374686600
2015-07-01,14368238900
2015-07-02,14372844400
2015-07-06,14315736199
2015-07-07,14214415200
2015-07-08,14089145600
2015-07-09,14149017100
2015-07-10,14207967500
2015-07-13,14414293900
2015-07-14,14420741600
2015-07-15,14328631600
2015-07-16,14369160000
2015-07-17,14184940000
2015-07-20,14330473800
2015-07-21,14230073900
2015-07-22,14138885000
2015-07-23,13953743900
2015-07-24,14007167700
2015-07-27,13752023000
2015-07-28,13971244800
2015-07-29,14161912500
2015-07-30,14211651900
2015-07-31,14260470200
