,HSY
2004-07-01,9178471120
2004-07-02,9014074680
2004-07-06,8698381340
2004-07-07,8692719560
2004-07-08,8696494080
2004-07-09,8734239280
2004-07-12,8788969820
2004-07-13,8726690240
2004-07-14,8811616940
2004-07-15,8785195300
2004-07-16,8764435440
2004-07-19,8851249400
2004-07-20,8770097220
2004-07-21,8728577500
2004-07-22,8775759000
2004-07-23,8688945040
2004-07-26,8511542600
2004-07-27,8634214500
2004-07-28,8949386920
2004-07-29,9011666500
2004-07-30,9141887440
2004-08-02,9085269640
2004-08-03,8998455680
2004-08-04,8951274180
2004-08-05,8800293380
2004-08-06,8805955160
2004-08-09,8756886400
2004-08-10,8915416240
2004-08-11,8989019380
2004-08-12,8932401580
2004-08-13,9004117460
2004-08-16,9096593200
2004-08-17,9056960740
2004-08-18,9043749920
2004-08-19,8992793900
