,FTV
2020-12-11,23169900000
2020-12-14,23071880000
2020-12-15,23457200000
2020-12-16,23294960000
2020-12-17,23433540000
2020-12-18,23602540000
2020-12-21,23595780000
2020-12-22,23139479999
2020-12-23,23440299999
2020-12-24,23538320000
2020-12-28,23311860000
2020-12-29,23109060000
2020-12-30,23514659999
2020-12-31,23979651999
2021-01-04,23299066000
2021-01-05,23194100000
2021-01-06,24064301999
2021-01-07,24565430000
2021-01-08,24575588000
2021-01-11,24071074000
2021-01-12,24071074000
2021-01-13,23769720000
2021-01-14,23881458000
2021-01-15,23776492000
2021-01-19,23830668000
2021-01-20,23769720000
2021-01-21,23722316000
2021-01-22,23471751999
2021-01-25,22977396000
2021-01-26,22686200000
2021-01-27,22395004000
2021-01-28,22615094000
2021-01-29,22374688000
2021-02-01,22560918000
2021-02-02,22540601999
2021-02-03,22432250000
2021-02-04,22374688000
2021-02-05,23329540000
2021-02-08,22916448000
2021-02-09,23106064000
2021-02-10,23783264000
2021-02-11,23881458000
2021-02-12,24216672000
2021-02-16,23634280000
