,FOSL
2004-06-18,1824657029
2004-06-21,1792868580
2004-06-22,1838078820
2004-06-23,1916490330
2004-06-24,1883289060
2004-06-25,1908013410
2004-06-28,1892472390
2004-06-29,1908719820
2004-06-30,1924967250
2004-07-01,1945453140
2004-07-02,1906600590
2004-07-06,1893445190
2004-07-07,1887774070
2004-07-08,1840278440
2004-07-09,1838151770
2004-07-12,1840987330
2004-07-13,1787111690
2004-07-14,1799162820
2004-07-15,1800580600
2004-07-16,1761591650
2004-07-19,1742451619
2004-07-20,1771516110
2004-07-21,1726147150
2004-07-22,1726147150
2004-07-23,1669435950
2004-07-26,1667309280
2004-07-27,1668018170
2004-07-28,1653840369
2004-07-29,1696373770
2004-07-30,1714804910
2004-08-02,1749540520
2004-08-03,1697082660
2004-08-04,1701336000
2004-08-05,1612724750
2004-08-06,1560266890
2004-08-09,1571609130
2004-08-10,1826809530
2004-08-11,1894862970
2004-08-12,1860836250
2004-08-13,1875014050
2004-08-16,1953700840
2004-08-17,1991272010
2004-08-18,1996234240
2004-08-19,2008994260
2004-08-20,2062869900
2004-08-23,2044438760
2004-08-24,2002614250
2004-08-25,1991980900
2004-08-26,2023172060
2004-08-27,2038058750
2004-08-30,2011829820
2004-08-31,2035223190
2004-09-01,2015374270
2004-09-02,2026007619
2004-09-03,2030260960
2004-09-07,2023172060
2004-09-08,2008994260
2004-09-09,2045856540
2004-09-10,2004032030
2004-09-13,2030969850
2004-09-14,2043729869
2004-09-15,2001905360
2004-09-16,2028134290
2004-09-17,2043800759
2004-09-20,2036640970
2004-09-21,2030969850
2004-09-22,2000487580
2004-09-23,2010412040
2004-09-24,2147936700
2004-09-27,2031678740
2004-09-28,2079883260
2004-09-29,2161405610
2004-09-30,2193305660
2004-10-01,2183381200
2004-10-04,2206638000
2004-10-05,2229795000
2004-10-06,2263410000
2004-10-07,2244735000
2004-10-08,2212614000
2004-10-11,2201409000
2004-10-12,2164059000
2004-10-13,2089359000
2004-10-14,2087865000
2004-10-15,2041550999
2004-10-18,2049768000
2004-10-19,2084130000
2004-10-20,2099070000
2004-10-21,2121480000
2004-10-22,2096082000
2004-10-25,2103552000
2004-10-26,2202903000
2004-10-27,2225313000
2004-10-28,2294037000
2004-10-29,2223072000
2004-11-01,2257434000
2004-11-02,2223072000
2004-11-03,2291796000
2004-11-04,2312712000
2004-11-05,2369857500
2004-11-08,2344833000
2004-11-09,2073672000
2004-11-10,2028105000
2004-11-11,2093094000
2004-11-12,2107287000
2004-11-15,2079648000
2004-11-16,2095335000
2004-11-17,2067696000
2004-11-18,2051262000
2004-11-19,2031840000
2004-11-22,2043045000
2004-11-23,2031093000
