,Equally-Weighted
2020-10-12,0.016723931195062394
2020-10-13,0.0017954529539149788
2020-10-14,-0.012127578738999816
2020-10-15,-0.0032689846761314797
2020-10-16,-0.000518240220770783
2020-10-19,-0.018385983965969112
2020-10-20,0.004600189317978547
2020-10-21,0.00044140510938207476
2020-10-22,-0.0023457566122965187
2020-10-23,0.0060822331811726
2020-10-26,-0.020591766046821967
2020-10-27,0.004978504999565952
2020-10-28,-0.04032084746142564
2020-10-29,0.012834618562768683
2020-10-30,-0.013567289923057129
2020-11-02,0.0070808897046961364
2020-11-03,0.01550097216347874
2020-11-04,0.036002823040408784
2020-11-05,0.021829608647052457
2020-11-06,0.0008426299662177695
2020-11-09,-0.0009020625267982135
2020-11-10,-0.008839745267983116
2020-11-11,0.011919206935592497
2020-11-12,-0.006506678284117849
2020-11-13,0.007491376389786911
2020-11-16,0.006602187986843548
2020-11-17,-0.0043960117529005666
2020-11-18,-0.008875308068177955
2020-11-19,0.003253173222527334
2020-11-20,-0.009780435955138347
2020-11-23,0.004773936602449354
2020-11-24,0.013376994601264168
2020-11-25,0.0010952836006749046
2020-11-27,0.002536783600434729
2020-11-30,-0.001764841740297464
2020-12-01,0.00983043168534663
2020-12-02,0.00424568983913573
2020-12-03,-0.0021218053615318375
2020-12-04,0.0047590414105017536
2020-12-07,-0.0013261351035937442
2020-12-08,0.0005334722015848607
2020-12-09,-0.011293766752292073
2020-12-10,-0.003980397813790092
2020-12-11,0.006047565221785844
2020-12-14,-0.001584137471496398
2020-12-15,0.009561411328539904
2020-12-16,0.0036520531711373453
2020-12-17,0.005930306135870745
2020-12-18,-0.0025189393771310174
2020-12-21,0.0011100400038601122
2020-12-22,-0.0022501174190244335
2020-12-23,-0.000577878948665651
2020-12-24,0.004139779368244055
2020-12-28,0.011995493041083457
2020-12-29,-0.002079557397216702
2020-12-30,0.0002580376338816928
2020-12-31,0.005618896921333853
2021-01-04,-0.011868284900780585
2021-01-05,0.0037781863540914348
2021-01-06,-0.0006775598364883602
2021-01-07,0.01978622465950305
2021-01-08,0.008636175331143215
2021-01-11,-0.010542021053782288
2021-01-12,-0.00031570149629764533
2021-01-13,0.003305643491181174
2021-01-14,-0.011744205262710956
2021-01-15,-0.008151002553458806
2021-01-19,0.007251239913765767
2021-01-20,0.01478944682397828
2021-01-21,0.004240252721708074
2021-01-22,0.000552309796651097
2021-01-25,0.0043361822611083555
2021-01-26,-0.0013856421136208244
2021-01-27,-0.029799712220237733
2021-01-28,0.011260680163556096
2021-01-29,-0.021270892897757337
2021-02-01,0.018396751719105393
2021-02-02,0.01801520642807995
